Zeit:;SDP1_01_330SY_RPM.Current_Value;SDP1_08_111TT.PV;SDP1_01_340TT.PV;SDP1_01_346PT.PV;SDP1_01_310SY_RPM.Current_Value;SDP1_01_326PT.PV;SDP1_01_370SY_RPM.Current_Value;SDP1_01_386PT.PV;SDP1_01_340TIC.SP;SDP1_56_665FT.PV;SDP1_56_461DT.PV;SDP1_56_361DT.PV;SDP1_02_230SY.PV;SDP1_08_110TT.PV;SDP1_56_565FT.PV
04.12.2021 19:30:57.660;;;;267;;;;;;;;;;;
04.12.2021 19:30:59.660;;;;128;;;;;;;;;;;
04.12.2021 19:31:04.520;;;;;;267;;;;;;;;;
04.12.2021 19:31:05.145;;;;;;;;266;;;;;;;
04.12.2021 19:31:06.004;;;;;;31;;;;;;;;;
04.12.2021 19:31:06.660;;;;;;;;113;;;;;;;
04.12.2021 19:33:03.586;;;97,4;;;;;;;;;;;;
04.12.2021 19:33:04.992;58;;;;58,3;;;;;;;;;;
04.12.2021 19:33:05.179;;;;;;;58,3;;;;;;;;
04.12.2021 19:33:05.445;;;;;;;;;;;;;;81;
04.12.2021 19:33:09.445;;74,7;;;;;;;;;;;;;
04.12.2021 19:33:09.664;;;;;;;;213;;;;;;;
04.12.2021 19:33:10.164;;;;213;;;;;;;;;;;
04.12.2021 19:33:10.414;;;;;;;;;;;;;;;10024,82
04.12.2021 19:33:10.508;;;;;;211;;;;;;;;;
04.12.2021 19:33:11.070;;;97,3;;;;;;;;;;;;
04.12.2021 19:33:11.414;;;;;;;;;;;;;;;10031,31
04.12.2021 19:33:11.445;;;;;;;;;;;;;;81;
04.12.2021 19:33:11.508;;;;;;211;;;;;;;;;
04.12.2021 19:33:12.008;;;;;;210;;;;;;;;;
04.12.2021 19:33:12.992;58;;;;58,4;;;;;;;;;;
04.12.2021 19:33:13.429;;74,6;;;;;;;;;;;;;
04.12.2021 19:33:13.664;;;;214;;;;213;;;;;;;
04.12.2021 19:33:13.679;;;;;;;58,5;;;;;;;;
04.12.2021 19:37:03.984;64;;;;63,5;;;;;;;;;;
04.12.2021 19:37:04.188;;;;;;;63,5;;;;;;;;
04.12.2021 19:37:05.594;;;93,6;;;;;;;;;;;;
04.12.2021 19:37:07.406;;69,3;;;;;;;;;;;;;
04.12.2021 19:37:08.672;;;;;;;;254;;;;;;;
04.12.2021 19:37:10.156;;;;254;;;;;;;;;;;
04.12.2021 19:37:11.500;;;;;;253;;;;;;;;;
04.12.2021 19:37:13.391;;;;;;;;;;;;;;75;
04.12.2021 19:37:15.000;;;;;;252;;;;;;;;;
